epoch,train_loss,eval_loss,duration_sec
1,11.002772331237793,11.009698867797852,11.528651714324951
2,11.002553939819336,11.009693145751953,8.686410427093506
3,11.00233268737793,11.009687423706055,9.11359977722168
4,11.002117156982422,11.009684562683105,11.006471872329712
5,11.001897811889648,11.00967788696289,9.315685033798218
6,11.001672744750977,11.009669303894043,9.358875274658203
7,11.001455307006836,11.009665489196777,8.917802333831787
8,11.00123405456543,11.009658813476562,7.942784070968628
9,11.001009941101074,11.009653091430664,7.930737018585205
10,11.00079345703125,11.009649276733398,9.835632562637329
11,11.00057315826416,11.009644508361816,8.884528875350952
12,11.000351905822754,11.009642601013184,6.896762132644653
13,11.000129699707031,11.009636878967285,7.406440496444702
14,10.999911308288574,11.009631156921387,8.562586307525635
15,10.9996919631958,11.009627342224121,10.687562942504883
16,10.999471664428711,11.009620666503906,10.617496728897095
17,10.999256134033203,11.009615898132324,8.961449146270752
18,10.999032974243164,11.009611129760742,9.953652143478394
19,10.998808860778809,11.009605407714844,8.530154943466187
20,10.998589515686035,11.009599685668945,12.45954155921936
21,10.998371124267578,11.00959300994873,10.225049257278442
22,10.998152732849121,11.009589195251465,8.99002981185913
23,10.997928619384766,11.009586334228516,10.400832891464233
24,10.997709274291992,11.0095796585083,9.098572492599487
25,10.997490882873535,11.009575843811035,11.85044002532959
26,10.997273445129395,11.009573936462402,9.4545419216156
27,10.997052192687988,11.009567260742188,8.75109338760376
28,10.996831893920898,11.009562492370605,11.52731990814209
29,10.996613502502441,11.009557723999023,8.892600059509277
30,10.996390342712402,11.009551048278809,10.784013032913208
1,11.002964973449707,11.005722045898438,0.8518052101135254
2,11.002948760986328,11.005722045898438,0.7801313400268555
3,11.002933502197266,11.005721092224121,0.7370743751525879
4,11.00291633605957,11.005720138549805,0.7695047855377197
5,11.002902030944824,11.005721092224121,0.6915755271911621
6,11.002881050109863,11.005722045898438,0.6568930149078369
7,11.002861976623535,11.005722999572754,0.704326868057251
8,11.00284481048584,11.005722999572754,0.689415454864502
9,11.002826690673828,11.005722045898438,0.7246096134185791
10,11.002811431884766,11.005722999572754,0.6632215976715088
11,11.002796173095703,11.005721092224121,0.7123820781707764
12,11.002778053283691,11.005722999572754,1.0063390731811523
1,11.001890182495117,11.003923416137695,0.7587583065032959
2,11.001877784729004,11.003923416137695,0.8262395858764648
3,11.001860618591309,11.003922462463379,0.6396300792694092
4,11.001839637756348,11.003921508789062,0.6983726024627686
5,11.001830101013184,11.003920555114746,0.6572742462158203
6,11.00180721282959,11.00391960144043,0.626596212387085
7,11.001785278320312,11.003918647766113,0.6093263626098633
1,11.0,nan,9.30764627456665
2,nan,nan,9.310679197311401
3,nan,nan,10.495470762252808
1,11.0,nan,9.07035493850708
2,nan,nan,8.799025297164917
3,nan,nan,9.741001844406128
1,11.0,nan,8.39946985244751
2,nan,nan,8.865602731704712
1,11.001919746398926,nan,8.462312698364258
2,nan,nan,8.8024742603302
3,nan,nan,8.97740364074707
4,nan,nan,9.134614706039429
5,nan,nan,10.40088152885437
1,11.002442359924316,nan,8.988800287246704
2,nan,nan,8.880554437637329
1,11.002083778381348,nan,10.46191692352295
2,nan,nan,10.491080284118652
1,11.002111434936523,nan,9.450823545455933
2,nan,nan,10.31244945526123
1,11.002086639404297,nan,8.531628847122192
2,nan,nan,8.723939418792725
1,11.002096176147461,nan,8.45162320137024
2,nan,nan,8.497207403182983
1,11.002107620239258,11.002312660217285,7.859853506088257
2,11.002107620239258,11.002312660217285,8.188291072845459
1,11.002099990844727,11.002185821533203,8.55109167098999
2,11.002099990844727,11.002185821533203,9.508944511413574
1,11.00210542678833,11.002092043558756,12.65135645866394
1,11.002101421356201,11.00214672088623,13.525364875793457
2,11.002100563049316,11.00214672088623,13.360231637954712
1,11.002094078063966,11.00206470489502,2.0661637783050537
2,11.002093887329101,11.00206470489502,2.0792644023895264
3,11.00209312438965,11.002064895629882,2.0063772201538086
4,11.002092933654785,11.002064895629882,1.989851474761963
5,11.002092552185058,11.002064895629882,2.024881362915039
6,11.002092552185058,11.00206470489502,2.13930082321167
7,11.002092552185058,11.002064895629882,2.1667704582214355
1,11.00208911895752,11.00216064453125,2.2042784690856934
2,11.002088737487792,11.00216064453125,2.144780158996582
3,11.002088356018067,11.00216064453125,2.150644063949585
4,11.002088737487792,11.002160453796387,2.167781352996826
5,11.002088356018067,11.00216064453125,2.205404758453369
6,11.002088356018067,11.00216064453125,2.2398598194122314
7,11.002088165283203,11.002160453796387,2.5665667057037354
8,11.00208797454834,11.002160453796387,2.687856912612915
9,11.00208797454834,11.002160453796387,2.246025323867798
10,11.002088165283203,11.002160453796387,2.5295910835266113
11,11.00208797454834,11.002160453796387,2.2567555904388428
12,11.002087783813476,11.002160453796387,2.3336708545684814
13,11.002087783813476,11.002160453796387,2.3677847385406494
14,11.002087783813476,11.002160453796387,2.2109692096710205
1,11.002108001708985,11.002142906188965,2.102024555206299
2,11.002108001708985,11.002142715454102,1.8866634368896484
1,11.002097702026367,11.002181053161621,2.053715229034424
2,11.00209732055664,11.002181053161621,2.0265307426452637
3,11.002097129821777,11.002180862426759,2.0581841468811035
4,11.002096366882324,11.002180862426759,2.1413633823394775
5,11.00209674835205,11.002180862426759,2.1029365062713623
6,11.002096366882324,11.002181053161621,2.102874517440796
1,11.002099990844727,11.002193260192872,1.8115320205688477
2,11.002099609375,11.002193069458007,1.720463752746582
3,11.002099609375,11.002192878723145,1.5834882259368896
4,11.00209903717041,11.002192878723145,1.7431278228759766
5,11.00209903717041,11.002192878723145,1.8218955993652344
6,11.00209903717041,11.002192878723145,1.6024961471557617
7,11.002099418640137,11.002192878723145,2.131859064102173
8,11.002099227905273,11.002192878723145,1.919790267944336
9,11.00209846496582,11.002193260192872,2.2944705486297607
1,11.002703094482422,10.998266410827636,2.0761630535125732
2,11.002680587768555,10.998266220092773,2.060917854309082
3,11.00266342163086,10.998265647888184,2.072746992111206
4,11.0026424407959,10.99826602935791,2.101999044418335
5,11.002626609802245,10.9982666015625,2.134984254837036
6,11.002616882324219,10.9982666015625,2.1724207401275635
7,11.002606964111328,10.998266220092773,2.14936900138855
8,11.00259952545166,10.998265838623047,2.2400035858154297
9,11.002595138549804,10.99826602935791,2.237567186355591
10,11.002590560913086,10.9982666015625,2.2184369564056396
11,11.002585792541504,10.998265266418457,2.29646372795105
12,11.002582550048828,10.99826602935791,2.1890313625335693
13,11.002581024169922,10.99826602935791,2.2922236919403076
14,11.002577781677246,10.9982666015625,2.38573956489563
15,11.002576065063476,10.998265838623047,2.499788761138916
1,11.00205955505371,11.008019065856933,1.2806308269500732
2,11.002019309997559,11.008017349243165,1.0600762367248535
3,11.001981735229492,11.008016395568848,1.0641307830810547
4,11.00194263458252,11.008013916015624,1.0913593769073486
5,11.001912117004395,11.008013343811035,1.1756484508514404
6,11.0018949508667,11.008012390136718,1.1698932647705078
7,11.001875877380371,11.008011627197266,1.2710421085357666
8,11.001859664916992,11.00801124572754,1.101619005203247
9,11.001850700378418,11.008011054992675,1.082749843597412
10,11.001841926574707,11.008010292053223,1.1219260692596436
11,11.001834678649903,11.008010482788086,1.118760585784912
12,11.001830673217773,11.00801067352295,1.142911672592163
13,11.001824760437012,11.008009719848634,1.0937070846557617
14,11.001820182800293,11.008009719848634,1.100541114807129
15,11.001818084716797,11.00800952911377,1.143014907836914
1,11.001992988586426,10.996542930603027,1.339411973953247
2,11.00194263458252,10.996541595458984,1.0610096454620361
3,11.001891899108887,10.996536827087402,1.0911588668823242
4,11.001844596862792,10.996533584594726,1.0686867237091064
5,11.001803016662597,10.996532440185547,1.0721187591552734
6,11.001781463623047,10.996530723571777,1.0771493911743164
7,11.001754570007325,10.996529006958008,1.0937113761901855
8,11.001734161376953,10.996528434753419,1.1590960025787354
9,11.00172290802002,10.996527671813965,1.1437287330627441
10,11.001712226867676,10.996526527404786,1.0978984832763672
11,11.001700401306152,10.996525955200195,1.1121511459350586
12,11.0016939163208,10.996526336669922,1.128694772720337
13,11.001688766479493,10.996526145935059,1.0909490585327148
14,11.001683807373047,10.99652557373047,1.1186578273773193
15,11.001681327819824,10.996525192260743,1.2033355236053467
