step,train_loss,forward_duration,backward_duration,total_duration,before_gpu_mem,forward_gpu_mem,backward_gpu_mem,peak_gpu_mem,eval_loss,eval_duration
1,11.0,0.09417481906712055,0.07684683986008167,0.17102165892720222,333776896,19915215872,7159835136,32775762944,10.68,0.0593875690549612
2,10.6875,0.004123675636947155,0.011568453162908554,0.01569212879985571,650266624,19975177216,7159769600,32834806784,,
3,10.4375,0.004254746250808239,0.00928489863872528,0.01353964488953352,650201088,19975111680,7160875520,32834806784,,
4,10.25,0.004114406183362007,0.009147177450358868,0.013261583633720875,651307008,19976217600,7160875520,32834806784,,
5,10.0625,0.0048881396651268005,0.010577245615422726,0.015465385280549526,651307008,19976217600,7160875520,32834806784,,
6,10.0,0.004106015898287296,0.009113357402384281,0.013219373300671577,651307008,19976217600,7160875520,32834806784,,
7,9.875,0.004488818347454071,0.009434478357434273,0.013923296704888344,651307008,19976217600,7160875520,32834806784,,
8,9.8125,0.004118465818464756,0.00927087850868702,0.013389344327151775,651307008,19976217600,7160875520,32834806784,,
9,9.75,0.0041124047711491585,0.00941090751439333,0.013523312285542488,651307008,19976217600,7160875520,32834806784,,
10,9.6875,0.024571542628109455,0.030510490760207176,0.05508203338831663,651307008,19976217600,7160875520,32834806784,9.615,0.05913210738450289
11,9.625,0.00410772580653429,0.009475510567426682,0.013583236373960972,651307008,19976217600,7160875520,32834806784,,
12,9.625,0.004143455997109413,0.009131147526204586,0.013274603523314,651307008,19976217600,7160875520,32834806784,,
13,9.5625,0.004098295234143734,0.009123686701059341,0.013221981935203075,651307008,19976217600,7160875520,32834806784,,
14,9.5,0.0181632237508893,0.009188538417220116,0.027351762168109417,651307008,19976217600,7160875520,32834806784,,
15,9.4375,0.004061885178089142,0.009096827358007431,0.013158712536096573,651307008,19976217600,7160875520,32834806784,,
16,9.4375,0.004088015295565128,0.01749360002577305,0.021581615321338177,651307008,19976217600,7160875520,32834806784,,
17,9.375,0.004691950045526028,0.009092255495488644,0.013784205541014671,651307008,19976217600,7160875520,32834806784,,
18,9.3125,0.004100976511836052,0.009090215899050236,0.013191192410886288,651307008,19976217600,7160875520,32834806784,,
19,9.25,0.00411908607929945,0.009140788577497005,0.013259874656796455,651307008,19976217600,7160875520,32834806784,,
20,9.25,0.004113826900720596,0.009115856140851974,0.01322968304157257,651307008,19976217600,7160875520,32834806784,9.13,0.06617037937045098
21,9.1875,0.004763118922710419,0.0422687754034996,0.04703189432621002,651307008,19976217600,7160875520,32834806784,,
22,9.125,0.00412930641323328,0.009235567413270473,0.013364873826503754,651307008,19976217600,7160875520,32834806784,,
23,9.125,0.0040955860167741776,0.009072805754840374,0.013168391771614552,651307008,19976217600,7160875520,32834806784,,
24,9.0625,0.00412000622600317,0.0091457674279809,0.01326577365398407,651307008,19976217600,7160875520,32834806784,,
25,9.0,0.0041000256314873695,0.02126638311892748,0.02536640875041485,651307008,19976217600,7160875520,32834806784,,
26,8.9375,0.005955176427960396,0.009125886484980583,0.015081062912940979,651307008,19976217600,7160875520,32834806784,,
27,8.9375,0.004050134681165218,0.009088506922125816,0.013138641603291035,651307008,19976217600,7160875520,32834806784,,
28,8.875,0.0040870364755392075,0.009065156802535057,0.013152193278074265,651307008,19976217600,7160875520,32834806784,,
29,8.875,0.004084514454007149,0.00907591637223959,0.013160430826246738,651307008,19976217600,7160875520,32834806784,,
30,8.8125,0.004044694826006889,0.009071805514395237,0.013116500340402126,651307008,19976217600,7160875520,32834806784,8.745,0.06303114779293537
31,8.75,0.008374703116714954,0.0445596594363451,0.052934362553060055,651307008,19976217600,7160875520,32834806784,,
32,8.75,0.004098184406757355,0.00904907751828432,0.013147261925041676,651307008,19976217600,7160875520,32834806784,,
33,8.6875,0.0040774354711174965,0.00909882690757513,0.013176262378692627,651307008,19976217600,7160875520,32834806784,,
34,8.6875,0.004090595990419388,0.009105146862566471,0.013195742852985859,651307008,19976217600,7160875520,32834806784,,
35,8.625,0.004024714231491089,0.00905486661940813,0.01307958085089922,651307008,19976217600,7160875520,32834806784,,
36,8.5625,0.004066024906933308,0.009047836996614933,0.01311386190354824,651307008,19976217600,7160875520,32834806784,,
37,8.5625,0.004090285860002041,0.009078698232769966,0.013168984092772007,651307008,19976217600,7160875520,32834806784,,
38,8.5625,0.0040885647758841515,0.009091828018426895,0.013180392794311047,651307008,19976217600,7160875520,32834806784,,
39,8.5,0.00406209472566843,0.009046146646142006,0.013108241371810436,651307008,19976217600,7160875520,32834806784,,
40,8.5,0.004015645012259483,0.009041356854140759,0.013057001866400242,651307008,19976217600,7160875520,32834806784,8.395,0.05977172527462244
41,8.4375,0.004336627200245857,0.009700189344584942,0.014036816544830799,651307008,19976217600,7160875520,32834806784,,
42,8.375,0.004196797497570515,0.009087026119232178,0.013283823616802692,651307008,19976217600,7160875520,32834806784,,
43,8.375,0.006610000506043434,0.009978283196687698,0.016588283702731133,651307008,19976217600,7160875520,32834806784,,
44,8.3125,0.004111926071345806,0.045767707750201225,0.04987963382154703,651307008,19976217600,7160875520,32834806784,,
45,8.3125,0.011681492440402508,0.00909658707678318,0.020778079517185688,651307008,19976217600,7160875520,32834806784,,
46,8.3125,0.004092136397957802,0.009075147099792957,0.013167283497750759,651307008,19976217600,7160875520,32834806784,,
47,8.25,0.004088706336915493,0.009083176963031292,0.013171883299946785,651307008,19976217600,7160875520,32834806784,,
48,8.1875,0.004076396115124226,0.00910742674022913,0.013183822855353355,651307008,19976217600,7160875520,32834806784,,
