step,train_loss,forward_duration,backward_duration,total_duration,before_gpu_mem,forward_gpu_mem,backward_gpu_mem,peak_gpu_mem,eval_loss,eval_duration
25,8.812243461608887,0.04513492155820131,0.2775568403303623,0.32269176188856363,1280491520,17995344896,6631752192,28383735296,,
26,8.754560470581055,0.022411445155739784,0.2643052516505122,0.286716696806252,1280327680,17995181056,6631916032,28383735296,,
27,8.728363037109375,0.021169479005038738,0.26429663226008415,0.2854661112651229,1280491520,17995344896,6631948800,28383735296,,
28,8.705409049987793,0.02129224967211485,0.2641997002065182,0.285491949878633,1280524288,17995377664,6631916032,28383735296,,
29,8.643619537353516,0.04919134173542261,0.2695090686902404,0.318700410425663,1280491520,17995344896,6631916032,28383735296,,
30,8.599449157714844,0.03122694045305252,0.26753763761371374,0.29876457806676626,1280491520,17995344896,6631916032,28383735296,8.52197021734519,0.1831647881810538
31,8.544548034667969,0.0264859851449728,0.28688740730285645,0.31337339244782925,1280491520,17995541504,6632538624,28383931904,,
32,8.509085655212402,0.02132377866655588,0.26429473236203194,0.2856185110285878,1281114112,17996164096,6631916032,28383931904,,
33,8.514134407043457,0.021337168291211128,0.2639993205666542,0.28533648885786533,1280491520,17995344896,6631916032,28383735296,,
34,8.439962387084961,0.021336079575121403,0.26395353954285383,0.28528961911797523,1280491520,17995344896,6632538624,28383735296,,
35,8.400442123413086,0.03197368327528238,0.26417743042111397,0.29615111369639635,1281114112,17995967488,6632538624,28383735296,,
36,8.357020378112793,0.02112548891454935,0.26452620420604944,0.2856516931205988,1281114112,17996000256,6632702464,28383768064,,
37,8.34225082397461,0.02179685141891241,0.26438626274466515,0.28618311416357756,1281277952,17995443200,6631916032,28383047168,,
38,8.32536792755127,0.02145853079855442,0.26438305247575045,0.28584158327430487,1280491520,17994656768,6631948800,28383047168,,
39,8.244172096252441,0.021364369429647923,0.26409630104899406,0.285460670478642,1280524288,17994853376,6631752192,28383211008,,
40,8.250747680664062,0.05380655638873577,0.26454125437885523,0.318347810767591,1280327680,17994492928,6632538624,28383047168,8.168246730429228,0.18515350654354837
41,8.20395565032959,0.026616306975483894,0.2972942916676402,0.3239105986431241,1281114112,17995279360,6632571392,28383047168,,
42,8.175537109375,0.021204117685556412,0.2639633808284998,0.2851674985140562,1281146880,17996000256,6632735232,28383735296,,
43,8.117459297180176,0.021117297932505608,0.26736960746347904,0.28848690539598465,1281310720,17996262400,6632735232,28383833600,,
44,8.10333251953125,0.06381155643612146,0.2646325631067157,0.32844411954283714,1281310720,17995475968,6632735232,28383047168,,
45,8.08227825164795,0.021117317490279675,0.2644901340827346,0.28560745157301426,1281310720,17995475968,6633292288,28383047168,,
46,8.06412124633789,0.021835612133145332,0.2640972612425685,0.2859328733757138,1281867776,17996033024,6632735232,28383047168,,
47,8.03946304321289,0.021058048121631145,0.2676172787323594,0.28867532685399055,1281310720,17995475968,6632735232,28383047168,,
48,7.9903364181518555,0.03162765130400658,0.26462658401578665,0.2962542353197932,1281310720,17995475968,6632735232,28383047168,,
49,7.966594696044922,0.02130529936403036,0.2641573613509536,0.28546266071498394,1281310720,17995475968,6633685504,28383047168,,
50,7.946777820587158,0.02105268742889166,0.2641842709854245,0.2852369584143162,1282260992,17996426240,6633456128,28383047168,7.91736614508707,0.18377803426358055
51,7.928586483001709,0.027760671451687813,0.2960911840200424,0.32385185547173023,1282031616,17996196864,6632735232,28383047168,,
52,7.9137725830078125,0.021146807819604874,0.2642984325066209,0.28544524032622576,1281310720,17995672576,6633292288,28383243776,,
53,7.8906168937683105,0.0228838874027133,0.2844179254025221,0.3073018128052354,1281867776,17996033024,6632735232,28383047168,,
54,7.907186031341553,0.026989668607711792,0.26445708330720663,0.2914467519149184,1281310720,17995475968,6632735232,28383047168,,
55,7.846440315246582,0.02134104911237955,0.29602916445583105,0.3173702135682106,1281310720,17995475968,6633652736,28383047168,,
56,7.918182373046875,0.0386051069945097,0.2644865829497576,0.3030916899442673,1282228224,17996393472,6633357824,28383047168,,
57,7.813968658447266,0.021978802047669888,0.29178968351334333,0.3137684855610132,1281933312,17996098560,6633521664,28383047168,,
58,7.7850165367126465,0.030260474421083927,0.26431576162576675,0.2945762360468507,1282097152,17996262400,6633357824,28383047168,,
59,7.806355953216553,0.021241658367216587,0.26444534212350845,0.28568700049072504,1281933312,17996098560,6634242560,28383047168,,
60,7.784793853759766,0.022761447355151176,0.267262727022171,0.2900241743773222,1282818048,17996983296,6633521664,28383047168,7.752691628503018,0.18253064868574748
61,7.79141092300415,0.0275691207498312,0.29800625424832106,0.32557537499815226,1282097152,17996262400,6633357824,28383047168,,
62,7.78626012802124,0.021176457405090332,0.26424841210246086,0.2854248695075512,1281933312,17996098560,6632735232,28383047168,,
63,7.7143378257751465,0.02125305775552988,0.26436432264745235,0.28561738040298223,1281310720,17996164096,6631916032,28383735296,,
64,7.762081146240234,0.021598100662231445,0.2715264493599534,0.29312455002218485,1280491520,17996164096,6631916032,28384554496,,
65,7.690878868103027,0.032055304385721684,0.26503913663327694,0.2970944410189986,1280491520,17996164096,6632702464,28384554496,,
