loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.264,3.0071051120758057,1.037280701754386e-05,1.4473684210526316,440,,,,,,,,,,,,,
,,,1.4802631578947367,450,0.2452542930841446,0.8953703703703704,0.8662092624356775,0.9351851851851852,0.8993766696349065,1.2081,1787.978,28.144,,,,,
0.2676,2.9952895641326904,9.93421052631579e-06,1.513157894736842,460,,,,,,,,,,,,,
0.2722,2.4527018070220947,9.49561403508772e-06,1.5789473684210527,480,,,,,,,,,,,,,
0.2447,3.767008066177368,9.05701754385965e-06,1.6447368421052633,500,,,,,,,,,,,,,
,,,1.6447368421052633,500,0.24237823486328125,0.9023148148148148,0.8848538529672276,0.925,0.9044816659121775,1.2139,1779.418,28.009,,,,,
0.2567,5.220289707183838,8.61842105263158e-06,1.7105263157894737,520,,,,,,,,,,,,,
0.2501,5.268631458282471,8.17982456140351e-06,1.776315789473684,540,,,,,,,,,,,,,
,,,1.8092105263157894,550,0.2419929802417755,0.899074074074074,0.8741319444444444,0.9324074074074075,0.9023297491039427,1.2809,1686.266,26.543,,,,,
0.2719,2.386298894882202,7.74122807017544e-06,1.8421052631578947,560,,,,,,,,,,,,,
0.2491,3.089423656463623,7.302631578947369e-06,1.9078947368421053,580,,,,,,,,,,,,,
0.2328,2.7793469429016113,6.8640350877192984e-06,1.973684210526316,600,,,,,,,,,,,,,
,,,1.973684210526316,600,0.25387826561927795,0.8953703703703704,0.8624787775891342,0.9407407407407408,0.899911426040744,1.2101,1784.916,28.096,,,,,
0.2437,3.587099313735962,6.425438596491229e-06,2.039473684210526,620,,,,,,,,,,,,,
0.2361,2.8088369369506836,5.9868421052631585e-06,2.1052631578947367,640,,,,,,,,,,,,,
,,,2.138157894736842,650,0.25135090947151184,0.8958333333333334,0.8682170542635659,0.9333333333333333,0.8995983935742972,1.2108,1783.895,28.08,,,,,
0.2275,3.5986554622650146,5.5482456140350885e-06,2.1710526315789473,660,,,,,,,,,,,,,
0.2503,4.2551398277282715,5.109649122807018e-06,2.236842105263158,680,,,,,,,,,,,,,
0.2498,3.339062452316284,4.671052631578948e-06,2.3026315789473686,700,,,,,,,,,,,,,
,,,2.3026315789473686,700,0.23266556859016418,0.9041666666666667,0.8907788719785139,0.9212962962962963,0.9057806099226218,1.209,1786.621,28.123,,,,,
0.2209,3.559758424758911,4.232456140350878e-06,2.3684210526315788,720,,,,,,,,,,,,,
0.2338,2.1542413234710693,3.7938596491228073e-06,2.4342105263157894,740,,,,,,,,,,,,,
,,,2.4671052631578947,750,0.232395738363266,0.9046296296296297,0.8958333333333334,0.9157407407407407,0.9056776556776557,1.2243,1764.243,27.77,,,,,
0.2342,5.0437445640563965,3.355263157894737e-06,2.5,760,,,,,,,,,,,,,
0.2414,2.7354931831359863,2.916666666666667e-06,2.5657894736842106,780,,,,,,,,,,,,,
0.2376,2.4424335956573486,2.4780701754385966e-06,2.6315789473684212,800,,,,,,,,,,,,,
,,,2.6315789473684212,800,0.23401445150375366,0.9027777777777778,0.8883928571428571,0.9212962962962963,0.9045454545454545,1.2246,1763.903,27.765,,,,,
0.2193,2.469686269760132,2.0394736842105266e-06,2.6973684210526314,820,,,,,,,,,,,,,
0.206,4.025609493255615,1.6008771929824562e-06,2.763157894736842,840,,,,,,,,,,,,,
,,,2.7960526315789473,850,0.23829367756843567,0.9069444444444444,0.8838427947598253,0.937037037037037,0.9096629213483146,1.2209,1769.217,27.849,,,,,
0.2278,3.113147735595703,1.162280701754386e-06,2.8289473684210527,860,,,,,,,,,,,,,
0.2254,3.439143419265747,7.236842105263158e-07,2.8947368421052633,880,,,,,,,,,,,,,
0.2182,2.6187989711761475,2.850877192982456e-07,2.9605263157894735,900,,,,,,,,,,,,,
,,,2.9605263157894735,900,0.2377876490354538,0.9064814814814814,0.8837412587412588,0.9361111111111111,0.9091726618705036,1.2262,1761.585,27.729,,,,,
,,,3.0,912,,,,,,,,,87.3566,667.608,10.44,0.0,0.2917314642354062
,,,3.0,912,0.23829367756843567,0.9069444444444444,0.8838427947598253,0.937037037037037,0.9096629213483146,1.2455,1734.296,27.299,,,,,
,,,3.0,912,0.23829367756843567,0.9069444444444444,0.8838427947598253,0.937037037037037,0.9096629213483146,1.3513,1598.455,25.161,,,,,
