step,train_loss,forward_duration,backward_duration,total_duration,before_gpu_mem,forward_gpu_mem,backward_gpu_mem,peak_gpu_mem,eval_loss,eval_duration
79,7.71875,0.004852365702390671,0.009268147870898247,0.014120513573288918,651307008,19976217600,7160875520,32834806784,,
80,7.75,0.004233980551362038,0.009014197625219822,0.01324817817658186,651307008,19976217600,7160875520,32834806784,7.6925,0.06028512593358755
81,7.71875,0.00405914057046175,0.029598170891404152,0.0336573114618659,651307008,19976217600,7160875520,32834806784,,
82,7.71875,0.00405901949852705,0.009185167960822582,0.013244187459349632,651307008,19976217600,7160875520,32834806784,,
83,7.71875,0.004014760255813599,0.009062147699296474,0.013076907955110073,651307008,19976217600,7160875520,32834806784,,
84,7.71875,0.0040375906974077225,0.009087977930903435,0.013125568628311157,651307008,19976217600,7160875520,32834806784,,
85,7.65625,0.003973250277340412,0.009002648293972015,0.012975898571312428,651307008,19976217600,7160875520,32834806784,,
86,7.65625,0.00400479044765234,0.00901577714830637,0.01302056759595871,651307008,19976217600,7160875520,32834806784,,
87,7.65625,0.004023600369691849,0.009151158854365349,0.013174759224057198,651307008,19976217600,7160875520,32834806784,,
88,7.65625,0.004416683688759804,0.008992906659841537,0.013409590348601341,651307008,19976217600,7160875520,32834806784,,
89,7.625,0.003969230689108372,0.00907076708972454,0.013039997778832912,651307008,19976217600,7160875520,32834806784,,
90,7.625,0.004005360417068005,0.009073448367416859,0.013078808784484863,651307008,19976217600,7160875520,32834806784,7.61875,0.06390060238540173
91,7.65625,0.008299882523715496,0.047889976762235165,0.05618985928595066,651307008,19976217600,7160875520,32834806784,,
92,7.625,0.004346592351794243,0.010014683939516544,0.014361276291310787,651307008,19976217600,7160875520,32834806784,,
93,7.625,0.004398011602461338,0.009619451127946377,0.014017462730407715,651307008,19976217600,7160875520,32834806784,,
94,7.625,0.004135521128773689,0.009207949042320251,0.01334347017109394,651307008,19976217600,7160875520,32834806784,,
95,7.65625,0.004044380038976669,0.009257638826966286,0.013302018865942955,651307008,19976217600,7160875520,32834806784,,
96,7.625,0.004072769545018673,0.0091921491548419,0.013264918699860573,651307008,19976217600,7160875520,32834806784,,
97,7.59375,0.004059659317135811,0.00922732800245285,0.013286987319588661,651307008,19976217600,7160875520,32834806784,,
98,7.625,0.004088890738785267,0.009204607456922531,0.013293498195707798,651307008,19976217600,7160875520,32834806784,,
99,7.59375,0.00405518151819706,0.009112837724387646,0.013168019242584705,651307008,19976217600,7160875520,32834806784,,
100,7.59375,0.004035419784486294,0.009183698333799839,0.013219118118286133,651307008,19976217600,7160875520,32834806784,7.575,0.05936387427151203
101,7.5625,0.004060589708387852,0.013462940230965614,0.017523529939353466,651307008,19976217600,7160875520,32834806784,,
102,7.59375,0.004025389440357685,0.009050806984305382,0.013076196424663067,651307008,19976217600,7160875520,32834806784,,
103,7.59375,0.003965319134294987,0.0090513676404953,0.013016686774790287,651307008,19976217600,7160875520,32834806784,,
104,7.5625,0.004057850688695908,0.009307438507676125,0.013365289196372032,651307008,19976217600,7160875520,32834806784,,
105,7.59375,0.02171749249100685,0.009372108615934849,0.0310896011069417,651307008,19976217600,7160875520,32834806784,,
